raw	permuted
01100111000110001110010011111010000100010001011111001110	00101110111001100000100000001010011100101101010111110111
00100100010110000101010011011010000100010001011111001110	11101110111000100000100000000010010100101101010100110101
01100100000110101111010011010110000011010001100111001110	01101100001001110100000000100010110100101101110110110111
01001101000010001111010011101110000100010001011111001110	01111110111001100100100000001000011100001101000110110111
01100111000110001111010011111010000100010011011101001100	01001010111001100000100000001010011100101111010111110111
01100100100110001111010011001010000100010001011111001110	01101110111001100000100000000010010100011101010110110111
01100100100111001000010011111010000000010001011111001110	00101110101011100000100000000010001100111101010100110111
01100101010110001001010011111010000100010001011111001110	11101110111001100000100000001010001100101101010100110111
01100111110110001111010011110110000100010001111101001110	11101010111001100100000000001010111100111101010111110111
01100100010110001000010011111010000100010001011111001110	10101110111001100000100000000010001100101101010100110111
01100110010110001101000011111010000100010001011111001110	11101110111001100000100000000010011100101101010101100111
01101111100110001111010011111010000100010001011111001010	01110110111001100000100000001010011100111101010111110111
01100101110110001000010110111010000100010101011111011110	10101110111101000010100000001110001100111101010100110111
01100100010110000000110011111010000100010001011011001110	10101110111000100000100000000010001100100101011100110111
01100111000110001111010011111000000100010001011111001110	01101110111001100000100000001010011000101101010111110111
01100111000110011111010011111111000100010001001110001010	01100100111001100100100000001011011110101101010011110111
01100000010110001000010011111010000100010001011111001110	10101110111001100000100000000010001100101101010100110011
01100111010110001111010111111010000100010001011111101110	11101110111101100000100000001010011100101101010111111111
01100100010110001001010011111010100100011001011111001110	11101111111001100000100100000010001100101101010100110111
01100111000110001111010011111010010101010001011111001110	01101110111001100000100010001010011100101101110111110111
01100101010110000111010011111010000101010001011111001110	11101110111000100000100000001010011100101101110110110111
01100111000110001111000011111010000100010001011111001110	01101110111001100000100000001010011100101101010111100111
01100111010110001111010011110111000011010001110111001110	11101110001001100100000000101010111110101101110111110111
01100011111010001111010011100110000100010001110111001110	11101110011001100100000000001000111101011101010111110011
01100101100110001101010011111010000100010001011111001110	01101110111001100000100000001010011100111101010100110111
01000111110110001111010001110010000011010001111111001110	11101110101001100000000000101010111100111101100111010111
01100100100110000101010011111010000100010011011111011100	01001110111000100000100000000110011100111111010100110111
01100110000110001111010011111010010100000001011111001110	01101110111001100000100010000010011100101100010111110111
01100100010110001011010011111010010100010001011101001110	11101010111001100000100010000010001100101101010110110111
01100111000110001110010011111010000100110001011111001110	00101110111001101000100000001010011100101101010111110111
01100110000110011111010011111010000100010001011111001100	01001110111001100000100000000011011100101101010111110111
01100101100110001001010011111010000100110001111110001110	01101110111001101000100000001010101100111101010000110111
01100111000010001110010011111010000100010001011111000110	00101110111001100000100000001000011100101101010111110110
01110100010010001001010010111010001100010001011111001110	11101110111001000001101000000000001100101101010100110111
01101110010100101010010011111010000100010001111111001010	10110110110001110000100000000010101100101101010111110111
01100101010110001101010011111011000100000001011111101110	11101110111001100000100000001010011110101100010100111111
01100100100110001001010011111010000100010001011011001110	01101110111001100000100000000010001100110101010100110111
01100100010110001001010001101010000100010001011111000010	11100110111001100000100000000010001100001101010100010110
