raw	permuted
10011111110110101001011101101000101011000100111000001110	01100110111001100000100000001010011100101101111111110111
10011011010110001001011101101100101011000100111000011110	01101110111001100000100000001010011110101101010101110111
10011011110110001001011101101100101011000100111000001110	01101110111001100000100000001010011100101101010111110111
10011011110110001001011101001100101011000100111000001110	01101110110001100000100000001010011100101101010111110111
10011011110110001011011101101100101011000110111000001110	01101110111001100000100100001010011100101101010111111111
10011001100110001001011101101100101011010100111000001110	00101110111001100000100000001010011100111101010111100111
10111011110110001001011101101100101011000100011000001110	01101110111001100000000000011010011100101101010111110111
10011011110110001001011101101100101011000101111000001110	01101110111001100000100001001010011100101101010111110111
10011011110110001001011101101100101011000101111100000110	01101110111001100100100001001010011000101101010111110111
10011011110110001001011101101100111111000100111000001111	01101110111001100000100000001110011101101111010111110111
10011011110110001001011101101100101011000100111000001110	01101110111001100000100000001010011100101101010111110111
10011001110110001001011101001100101011000100111000001110	01101110110001100000100000001010011100101101010111100111
10011011110110001001011100101100111011000100111010001110	01101110111001100000100000000111011100101101010111110111
10011011110110001001111101101100101011000100111000001110	01101110111001101000100000001010011100101101010111110111
10011011110110001001011101101101101011000100111000001110	01101111111001100000100000001010011100101101010111110111
10001011100110011001011101101000101011000100111000001110	00100110111000100000100000101010011100101101010111110111
10011010110111101001011101101100101111000100111000001110	01101100111001100000100000001010111100101111110111110111
10011011100110001001011101101100101011000101111000011110	00101110111001100000100001001010011110101101010111110111
10011011110110001001011101101100111011000100011000001111	01101110111001100000000000001110011101101101010111110111
10011011110110001001011101101100101111000100111000000110	01101110111001100000100000001010011000101111010111110111
10011011110110001001011000101100101011000100111000001110	01001110111001100000100000000010011100101101010111110111
10011011110110000001011101101100101011000100110000001110	01101110011001100000100000001010011100001101010111110111
00010011110110001001011101101100101011000100111000001110	01101110111001100000100000001010001100101101010111110101
10011011110110001001011100101100101011000100111000001110	01101110111001100000100000000010011100101101010111110111
10011011110110001001011101101100101001000100111000001110	01101110111001100000100000001010011100101101010111010111
10011011110110001101011101101100101011000100111000011110	01101110111001100010100000001010011110101101010111110111
10011111110110001001011100101100101011000100101000001110	01101110111001100000100000000010011100100101011111110111
10011011110110001001011101000101001011000100111000001110	01101111110001100000100000001010011100101001010111110110
11011011110011001001011101101100101011000110111000001110	01101110101001100000101000001010111100101101010111111111
11011011110110001001011101001100101011000100111000001110	01101110110001100000101000001010011100101101010111110111
10011011110110001001011001101100101011000100111000001110	01001110111001100000100000001010011100101101010111110111
10111011110110001001011101101100101011000000111000001110	01101110111001100000100000011010011100101101010011110111
00011011110110001001000101101100101011010100111000001010	01101110111001100000100000001010011100111100010110110001
10011011111110001001011101101100101011000100111010001110	01101110111001100001100000001011011100101101010111110111
10011011110110001101011101101100101011000100110000001110	01101110011001100010100000001010011100101101010111110111
10011011110110001000011111001100100011000100111000001110	01101010110001100000110000001010010100101101010111110111
10011011110110001000011101001100101011000100111000101110	01111110110001100000100000001010010100101101010111110111
10011011110110001001011101101100101011010100111000001110	01101110111001100000100000001010011100111101010111110111
10011011110110101001011101101100101011000100111000001110	01101110111001100000100000001010011100101101110111110111
10011011110110001001011101101100101011000100111100001110	01101110111001100100100000001010011100101101010111110111
10011011110110001001011101101000101011000100111000001110	01100110111001100000100000001010011100101101010111110111
10011011110110001001111101101100101011000100111000001110	01101110111001101000100000001010011100101101010111110111
10011011110100001001111101101110101011000100111000001110	01101110111001101000100010001010011100101101000111110111
10011011110010001001011101101100101011000100111010001110	01101110101001100000100000001011011100101101010111110111
10011011010110001001010101101100101011000100101000001110	01101110111001100000100000001010011100100101010100110111
10011010110110001001011101101100101011000100111000001110	01101100111001100000100000001010011100101101010111110111
10011011110110001001011101101100101011000100111010001110	01101110111001100000100000001011011100101101010111110111
10011011010110001001011101101100101011000100111000001110	01101110111001100000100000001010011100101101010101110111
10011011110110001011011101101100101011000010111000000110	01101110111001100000100100001010011000101101010011111111
10011011110110001001001101101100101011000100101000100110	01111110111001100000100000001010011000100100010111110111
10011011110110001001011101101100101011000100111000001110	01101110111001100000100000001010011100101101010111110111
10011011110110001001011101001110101011000100011000001110	01101110110001100000000010001010011100101101010111110111
10011010110110011001011101100100101011100100111000001110	11101100111001100000100000101010011100101101010111110110
10011011110110001001011101101100101011000100111000001110	01101110111001100000100000001010011100101101010111110111
10011011110110001001011101101100101011000000111000001110	01101110111001100000100000001010011100101101010011110111
10011011110110001001011111101100101011000100111000001110	01101110111001100000110000001010011100101101010111110111
10001011110100001001011101101100101011101100111000001110	11101110111000110000100000001010011100101101000111110111
10011011100110001001011101101100100011000100101000001110	00101010111001100000100000001010011100100101010111110111
10011011110110011001011100101100101011000100111000001110	01101110111001100000100000100010011100101101010111110111
10011011110100011001011101101100101011000100111000001110	01101110111001100000100000101010011100101101000111110111
10011011110110001000011101011101101011000100111010001110	01101111110011100000100000001011010100101101010111110111
10011011100110001001011111101100101011001100111000001100	00101110111001110000110000001000011100101101010111110111
10011010110110001001011101101100101110000100111000011110	01101100111001000000100000001010011110101111010111110111
10011011110110001001011101101100001011000101111000001110	01101110111001100000100001001010011100101001010111110111
10011001110110001001011101101100101011000101111000001110	01101110111001100000100001001010011100101101010111100111
10011011110110011001011101101100101010000100111000101100	01111110111001000000100000101000011100101101010111110111
10011011110110001001011101101100101011000100111000001110	01101110111001100000100000001010011100101101010111110111
10011011110010001001011101101100101011000100111000001110	01101110101001100000100000001010011100101101010111110111
10011011110110001001011101101101101011000000111000001110	01101111111001100000100000001010011100101101010011110111
10011011110110001001011101101100101011000100111000001110	01101110111001100000100000001010011100101101010111110111
10011011110110001001011101101110101011000100111100001110	01101110111001100100100010001010011100101101010111110111
10011010110110001001111101100100101011000100111100001111	01101100111001101100100000001010011101101101010111110110
10001011110110001001001101001100101011000100111000001110	01101110110000100000100000001010011100101100010111110111
10011011110110001001011101101100101011000100111000001010	01101110111001100000100000001010011100101101010111110011
10011011110110001001011101101100101011000100111000011110	01101110111001100000100000001010011110101101010111110111
10011011110110001001011101101100100011000100111000001110	01101010111001100000100000001010011100101101010111110111
10011011110110001101011101101100101011000100101000001110	01101110111001100010100000001010011100100101010111110111
10011011110110001001011101101100101011000100111000001110	01101110111001100000100000001010011100101101010111110111
10011011110110001001011101101100110011010100111000001110	01101010111001100000100000001110011100111101010111110111
10011011110110011001011101101100101011000100111000001110	01101110111001100000100000101010011100101101010111110111
10011011110100001001111101101101100011000100111001001110	01101011111101101000100000001010011100101101000111110111
10011011110110001001010101101100101001000100111000001110	01101110111001100000100000001010011100101101010110010111
11011011110110001001011101001100101011000110111000001110	01101110110001100000101000001010011100101101010111111111
10011011110110000001011101101100101011000100111000001110	01101110111001100000100000001010011100001101010111110111
10011011110110001001011101101100101001000100111000001110	01101110111001100000100000001010011100101101010111010111
11011011110110001001011101101100101011000100111000001110	01101110111001100000101000001010011100101101010111110111
10011011110110001001011101101100101011000100111000001110	01101110111001100000100000001010011100101101010111110111
10011011110110001001011101101100101011000100111000001110	01101110111001100000100000001010011100101101010111110111
10011011110110001001011101000100101001000100111000001110	01101110110001100000100000001010011100101101010111010110
11111011110110001001011101101100101011000100111000001110	01101110111001100000101000011010011100101101010111110111
